serie,iteracion,puntos_corte,rmse_medio,tiempo
serie_1,1,"[11, 18, 26, 32, 42, 65, 105, 185]",2.523394,0.001088
serie_1,2,"[3, 12, 64, 112, 115, 128, 158, 165]",2.721781,0.000671
serie_1,3,"[26, 38, 60, 119, 125, 128, 146, 149]",2.394508,0.000607
serie_1,4,"[6, 30, 75, 101, 130, 141, 142, 180]",1.836096,0.000547
serie_1,5,"[1, 67, 85, 95, 129, 139, 155, 181]",2.322863,0.000566
serie_1,6,"[7, 23, 26, 46, 48, 56, 83, 146]",2.525471,0.000539
serie_1,7,"[13, 48, 93, 123, 142, 150, 162, 183]",1.547301,0.000566
serie_1,8,"[6, 7, 25, 26, 51, 75, 122, 123]",2.433084,0.000531
serie_1,9,"[12, 18, 77, 92, 110, 143, 174, 184]",1.840421,0.000549
serie_1,10,"[12, 16, 23, 65, 136, 162, 177, 185]",2.364347,0.000631
serie_1,11,"[4, 22, 23, 25, 36, 130, 161, 199]",2.530141,0.000651
serie_1,12,"[9, 23, 127, 132, 161, 174, 177, 193]",2.388629,0.000601
serie_1,13,"[5, 47, 98, 107, 108, 119, 176, 187]",2.122536,0.000684
serie_1,14,"[28, 30, 39, 62, 76, 84, 113, 126]",2.201887,0.000619
serie_1,15,"[3, 7, 68, 83, 106, 157, 190, 199]",2.568777,0.000592
serie_1,16,"[7, 32, 45, 94, 112, 141, 162, 183]",1.519379,0.000550
serie_1,17,"[7, 27, 92, 110, 118, 133, 141, 147]",2.420792,0.000589
serie_1,18,"[82, 91, 102, 124, 149, 150, 156, 162]",2.397448,0.000550
serie_1,19,"[9, 26, 56, 102, 110, 113, 153, 166]",1.931639,0.000563
serie_1,20,"[5, 16, 44, 93, 96, 139, 143, 182]",2.405787,0.000567
serie_1,21,"[24, 45, 51, 96, 101, 103, 122, 167]",1.869273,0.000544
serie_1,22,"[43, 44, 47, 56, 105, 122, 158, 191]",2.018080,0.000555
serie_1,23,"[4, 24, 63, 71, 73, 112, 145, 172]",1.853638,0.000540
serie_1,24,"[16, 31, 44, 66, 89, 141, 175, 198]",2.068718,0.000561
serie_1,25,"[1, 6, 12, 40, 89, 138, 172, 186]",2.526743,0.000536
serie_1,26,"[4, 46, 49, 88, 93, 103, 112, 156]",2.084259,0.000578
serie_1,27,"[44, 79, 107, 109, 134, 146, 154, 174]",1.705339,0.000513
serie_1,28,"[12, 19, 47, 49, 55, 140, 174, 179]",2.483226,0.000564
serie_1,29,"[30, 47, 53, 67, 110, 119, 185, 197]",2.524691,0.000550
