Segmento,Punto_Inicio,Punto_Fin,Pendiente(b0),Interseccion(b1),RMSE
Segmento 1,0,20,-0.09752631308270676,1.7744508372857144,0.7388866077517252
Segmento 2,20,175,0.0041163975420385945,0.785423181131934,0.9237024437026609
Segmento 3,175,188,-0.06364074021977793,13.326002959010577,0.9185646828849788
Segmento 4,188,203,0.08602893703571227,-15.447818426630558,0.6920774108413921
Segmento 5,203,296,-0.0013096906083077894,1.993682739103048,1.0965424423667707
Segmento 6,296,326,-0.010680287270297493,5.440750236760705,0.7430259254907227
Segmento 7,326,378,0.013291429734483306,-2.5632376159016514,0.7486496317735009
Segmento 8,378,382,-0.8356287439999506,319.24285024298126,0.863860023094934
Segmento 9,382,388,0.6760978654285802,-257.97541957228907,0.3968708137384798
Segmento 10,388,473,-0.002500633720344215,3.359671360100954,1.0166561860666616
Segmento 11,473,529,-0.012757678635680052,9.04393885144358,0.9884256362716566
Segmento 12,529,542,0.05326564478023751,-25.95999423896553,0.7756987002296958
Segmento 13,542,668,0.006489727875365333,-0.52378871184882,1.0155488618944837
Segmento 14,668,688,0.04326302281955495,-25.63388408174848,1.1527416926637484
Segmento 15,688,831,0.011270902276502943,-3.933293681572027,0.9399178843747908
Segmento 16,831,869,0.02379070820549865,-14.656136891360578,0.8945785816543304
Segmento 17,869,874,-0.6570465910001075,577.7812952690937,0.6995326499287392
Segmento 18,874,943,-0.0018132335761817022,8.080865198767189,0.8851982440117366
Segmento 19,943,980,-0.007384738843045868,13.913822986004917,0.9938685760736125
Segmento 20,980,1000,0.013923118285715748,-6.560141288715732,0.901958272191575
